Experiment	Beetle	Trial	Heading
LPexper.20181122.Fullmoon.Thornwood	1	1	060
LPexper.20181122.Fullmoon.Thornwood	1	2	065
LPexper.20181122.Fullmoon.Thornwood	1	3	080
LPexper.20181122.Fullmoon.Thornwood	1	4	095
LPexper.20181122.Fullmoon.Thornwood	1	5	110
LPexper.20181122.Fullmoon.Thornwood	1	6	105
LPexper.20181122.Fullmoon.Thornwood	1	7	095
LPexper.20181122.Fullmoon.Thornwood	1	8	120
LPexper.20181122.Fullmoon.Thornwood	1	9	115
LPexper.20181122.Fullmoon.Thornwood	1	10	125
LPexper.20181122.Fullmoon.Thornwood	2	1	045
LPexper.20181122.Fullmoon.Thornwood	2	2	040
LPexper.20181122.Fullmoon.Thornwood	2	3	040
LPexper.20181122.Fullmoon.Thornwood	2	4	050
LPexper.20181122.Fullmoon.Thornwood	2	5	040
LPexper.20181122.Fullmoon.Thornwood	2	6	045
LPexper.20181122.Fullmoon.Thornwood	2	7	035
LPexper.20181122.Fullmoon.Thornwood	2	8	060
LPexper.20181122.Fullmoon.Thornwood	2	9	065
LPexper.20181122.Fullmoon.Thornwood	2	10	075
LPexper.20181122.Fullmoon.Thornwood	3	1	070
LPexper.20181122.Fullmoon.Thornwood	3	2	110
LPexper.20181122.Fullmoon.Thornwood	3	3	120
LPexper.20181122.Fullmoon.Thornwood	3	4	130
LPexper.20181122.Fullmoon.Thornwood	3	5	150
LPexper.20181122.Fullmoon.Thornwood	3	6	105
LPexper.20181122.Fullmoon.Thornwood	3	7	130
LPexper.20181122.Fullmoon.Thornwood	3	8	125
LPexper.20181122.Fullmoon.Thornwood	3	9	105
LPexper.20181122.Fullmoon.Thornwood	3	10	130
LPexper.20181122.Fullmoon.Thornwood	4	1	215
LPexper.20181122.Fullmoon.Thornwood	4	2	235
LPexper.20181122.Fullmoon.Thornwood	4	3	220
LPexper.20181122.Fullmoon.Thornwood	4	4	215
LPexper.20181122.Fullmoon.Thornwood	4	5	225
LPexper.20181122.Fullmoon.Thornwood	4	6	210
LPexper.20181122.Fullmoon.Thornwood	4	7	220
LPexper.20181122.Fullmoon.Thornwood	4	8	215
LPexper.20181122.Fullmoon.Thornwood	4	9	230
LPexper.20181122.Fullmoon.Thornwood	4	10	220
LPexper.20181122.Fullmoon.Thornwood	5	1	140
LPexper.20181122.Fullmoon.Thornwood	5	2	060
LPexper.20181122.Fullmoon.Thornwood	5	3	050
LPexper.20181122.Fullmoon.Thornwood	5	4	050
LPexper.20181122.Fullmoon.Thornwood	5	5	095
LPexper.20181122.Fullmoon.Thornwood	5	6	125
LPexper.20181122.Fullmoon.Thornwood	5	7	095
LPexper.20181122.Fullmoon.Thornwood	5	8	125
LPexper.20181122.Fullmoon.Thornwood	5	9	110
LPexper.20181122.Fullmoon.Thornwood	5	10	130
LPexper.20181122.Fullmoon.Thornwood	6	1	340
LPexper.20181122.Fullmoon.Thornwood	6	2	325
LPexper.20181122.Fullmoon.Thornwood	6	3	325
LPexper.20181122.Fullmoon.Thornwood	6	4	340
LPexper.20181122.Fullmoon.Thornwood	6	5	355
LPexper.20181122.Fullmoon.Thornwood	6	6	350
LPexper.20181122.Fullmoon.Thornwood	6	7	350
LPexper.20181122.Fullmoon.Thornwood	6	8	330
LPexper.20181122.Fullmoon.Thornwood	6	9	320
LPexper.20181122.Fullmoon.Thornwood	6	10	325
LPexper.20181122.Fullmoon.Thornwood	7	1	045
LPexper.20181122.Fullmoon.Thornwood	7	2	050
LPexper.20181122.Fullmoon.Thornwood	7	3	050
LPexper.20181122.Fullmoon.Thornwood	7	4	010
LPexper.20181122.Fullmoon.Thornwood	7	5	010
LPexper.20181122.Fullmoon.Thornwood	7	6	015
LPexper.20181122.Fullmoon.Thornwood	7	7	350
LPexper.20181122.Fullmoon.Thornwood	7	8	250
LPexper.20181122.Fullmoon.Thornwood	7	9	255
LPexper.20181122.Fullmoon.Thornwood	7	10	250
LPexper.20181122.Fullmoon.Thornwood	8	1	065
LPexper.20181122.Fullmoon.Thornwood	8	2	040
LPexper.20181122.Fullmoon.Thornwood	8	3	005
LPexper.20181122.Fullmoon.Thornwood	8	4	345
LPexper.20181122.Fullmoon.Thornwood	8	5	015
LPexper.20181122.Fullmoon.Thornwood	8	6	050
LPexper.20181122.Fullmoon.Thornwood	8	7	030
LPexper.20181122.Fullmoon.Thornwood	8	8	035
LPexper.20181122.Fullmoon.Thornwood	8	9	350
LPexper.20181122.Fullmoon.Thornwood	8	10	045
LPexper.20181122.Fullmoon.Thornwood	9	1	010
LPexper.20181122.Fullmoon.Thornwood	9	2	345
LPexper.20181122.Fullmoon.Thornwood	9	3	005
LPexper.20181122.Fullmoon.Thornwood	9	4	000
LPexper.20181122.Fullmoon.Thornwood	9	5	345
LPexper.20181122.Fullmoon.Thornwood	9	6	345
LPexper.20181122.Fullmoon.Thornwood	9	7	325
LPexper.20181122.Fullmoon.Thornwood	9	8	345
LPexper.20181122.Fullmoon.Thornwood	9	9	330
LPexper.20181122.Fullmoon.Thornwood	9	10	355
LPexper.20181122.Fullmoon.Thornwood	10	1	000
LPexper.20181122.Fullmoon.Thornwood	10	2	040
LPexper.20181122.Fullmoon.Thornwood	10	3	050
LPexper.20181122.Fullmoon.Thornwood	10	4	065
LPexper.20181122.Fullmoon.Thornwood	10	5	060
LPexper.20181122.Fullmoon.Thornwood	10	6	030
LPexper.20181122.Fullmoon.Thornwood	10	7	050
LPexper.20181122.Fullmoon.Thornwood	10	8	040
LPexper.20181122.Fullmoon.Thornwood	10	9	005
