"Experiment" "Beetle" "Trial" "Heading" "ShortName" "Indirect" "Direct" "Condition"
"1" "LPexper.20181122.Fullmoon.Thornwood" 1 1 60 "Moon
Rural" FALSE FALSE "MoonRural"
"2" "LPexper.20181122.Fullmoon.Thornwood" 1 2 65 "Moon
Rural" FALSE FALSE "MoonRural"
"3" "LPexper.20181122.Fullmoon.Thornwood" 1 3 80 "Moon
Rural" FALSE FALSE "MoonRural"
"4" "LPexper.20181122.Fullmoon.Thornwood" 1 4 95 "Moon
Rural" FALSE FALSE "MoonRural"
"5" "LPexper.20181122.Fullmoon.Thornwood" 1 5 110 "Moon
Rural" FALSE FALSE "MoonRural"
"6" "LPexper.20181122.Fullmoon.Thornwood" 1 6 105 "Moon
Rural" FALSE FALSE "MoonRural"
"7" "LPexper.20181122.Fullmoon.Thornwood" 1 7 95 "Moon
Rural" FALSE FALSE "MoonRural"
"8" "LPexper.20181122.Fullmoon.Thornwood" 1 8 120 "Moon
Rural" FALSE FALSE "MoonRural"
"9" "LPexper.20181122.Fullmoon.Thornwood" 1 9 115 "Moon
Rural" FALSE FALSE "MoonRural"
"10" "LPexper.20181122.Fullmoon.Thornwood" 1 10 125 "Moon
Rural" FALSE FALSE "MoonRural"
"11" "LPexper.20181122.Fullmoon.Thornwood" 2 1 45 "Moon
Rural" FALSE FALSE "MoonRural"
"12" "LPexper.20181122.Fullmoon.Thornwood" 2 2 40 "Moon
Rural" FALSE FALSE "MoonRural"
"13" "LPexper.20181122.Fullmoon.Thornwood" 2 3 40 "Moon
Rural" FALSE FALSE "MoonRural"
"14" "LPexper.20181122.Fullmoon.Thornwood" 2 4 50 "Moon
Rural" FALSE FALSE "MoonRural"
"15" "LPexper.20181122.Fullmoon.Thornwood" 2 5 40 "Moon
Rural" FALSE FALSE "MoonRural"
"16" "LPexper.20181122.Fullmoon.Thornwood" 2 6 45 "Moon
Rural" FALSE FALSE "MoonRural"
"17" "LPexper.20181122.Fullmoon.Thornwood" 2 7 35 "Moon
Rural" FALSE FALSE "MoonRural"
"18" "LPexper.20181122.Fullmoon.Thornwood" 2 8 60 "Moon
Rural" FALSE FALSE "MoonRural"
"19" "LPexper.20181122.Fullmoon.Thornwood" 2 9 65 "Moon
Rural" FALSE FALSE "MoonRural"
"20" "LPexper.20181122.Fullmoon.Thornwood" 2 10 75 "Moon
Rural" FALSE FALSE "MoonRural"
"21" "LPexper.20181122.Fullmoon.Thornwood" 3 1 70 "Moon
Rural" FALSE FALSE "MoonRural"
"22" "LPexper.20181122.Fullmoon.Thornwood" 3 2 110 "Moon
Rural" FALSE FALSE "MoonRural"
"23" "LPexper.20181122.Fullmoon.Thornwood" 3 3 120 "Moon
Rural" FALSE FALSE "MoonRural"
"24" "LPexper.20181122.Fullmoon.Thornwood" 3 4 130 "Moon
Rural" FALSE FALSE "MoonRural"
"25" "LPexper.20181122.Fullmoon.Thornwood" 3 5 150 "Moon
Rural" FALSE FALSE "MoonRural"
"26" "LPexper.20181122.Fullmoon.Thornwood" 3 6 105 "Moon
Rural" FALSE FALSE "MoonRural"
"27" "LPexper.20181122.Fullmoon.Thornwood" 3 7 130 "Moon
Rural" FALSE FALSE "MoonRural"
"28" "LPexper.20181122.Fullmoon.Thornwood" 3 8 125 "Moon
Rural" FALSE FALSE "MoonRural"
"29" "LPexper.20181122.Fullmoon.Thornwood" 3 9 105 "Moon
Rural" FALSE FALSE "MoonRural"
"30" "LPexper.20181122.Fullmoon.Thornwood" 3 10 130 "Moon
Rural" FALSE FALSE "MoonRural"
"31" "LPexper.20181122.Fullmoon.Thornwood" 4 1 215 "Moon
Rural" FALSE FALSE "MoonRural"
"32" "LPexper.20181122.Fullmoon.Thornwood" 4 2 235 "Moon
Rural" FALSE FALSE "MoonRural"
"33" "LPexper.20181122.Fullmoon.Thornwood" 4 3 220 "Moon
Rural" FALSE FALSE "MoonRural"
"34" "LPexper.20181122.Fullmoon.Thornwood" 4 4 215 "Moon
Rural" FALSE FALSE "MoonRural"
"35" "LPexper.20181122.Fullmoon.Thornwood" 4 5 225 "Moon
Rural" FALSE FALSE "MoonRural"
"36" "LPexper.20181122.Fullmoon.Thornwood" 4 6 210 "Moon
Rural" FALSE FALSE "MoonRural"
"37" "LPexper.20181122.Fullmoon.Thornwood" 4 7 220 "Moon
Rural" FALSE FALSE "MoonRural"
"38" "LPexper.20181122.Fullmoon.Thornwood" 4 8 215 "Moon
Rural" FALSE FALSE "MoonRural"
"39" "LPexper.20181122.Fullmoon.Thornwood" 4 9 230 "Moon
Rural" FALSE FALSE "MoonRural"
"40" "LPexper.20181122.Fullmoon.Thornwood" 4 10 220 "Moon
Rural" FALSE FALSE "MoonRural"
"41" "LPexper.20181122.Fullmoon.Thornwood" 5 1 140 "Moon
Rural" FALSE FALSE "MoonRural"
"42" "LPexper.20181122.Fullmoon.Thornwood" 5 2 60 "Moon
Rural" FALSE FALSE "MoonRural"
"43" "LPexper.20181122.Fullmoon.Thornwood" 5 3 50 "Moon
Rural" FALSE FALSE "MoonRural"
"44" "LPexper.20181122.Fullmoon.Thornwood" 5 4 50 "Moon
Rural" FALSE FALSE "MoonRural"
"45" "LPexper.20181122.Fullmoon.Thornwood" 5 5 95 "Moon
Rural" FALSE FALSE "MoonRural"
"46" "LPexper.20181122.Fullmoon.Thornwood" 5 6 125 "Moon
Rural" FALSE FALSE "MoonRural"
"47" "LPexper.20181122.Fullmoon.Thornwood" 5 7 95 "Moon
Rural" FALSE FALSE "MoonRural"
"48" "LPexper.20181122.Fullmoon.Thornwood" 5 8 125 "Moon
Rural" FALSE FALSE "MoonRural"
"49" "LPexper.20181122.Fullmoon.Thornwood" 5 9 110 "Moon
Rural" FALSE FALSE "MoonRural"
"50" "LPexper.20181122.Fullmoon.Thornwood" 5 10 130 "Moon
Rural" FALSE FALSE "MoonRural"
"51" "LPexper.20181122.Fullmoon.Thornwood" 6 1 340 "Moon
Rural" FALSE FALSE "MoonRural"
"52" "LPexper.20181122.Fullmoon.Thornwood" 6 2 325 "Moon
Rural" FALSE FALSE "MoonRural"
"53" "LPexper.20181122.Fullmoon.Thornwood" 6 3 325 "Moon
Rural" FALSE FALSE "MoonRural"
"54" "LPexper.20181122.Fullmoon.Thornwood" 6 4 340 "Moon
Rural" FALSE FALSE "MoonRural"
"55" "LPexper.20181122.Fullmoon.Thornwood" 6 5 355 "Moon
Rural" FALSE FALSE "MoonRural"
"56" "LPexper.20181122.Fullmoon.Thornwood" 6 6 350 "Moon
Rural" FALSE FALSE "MoonRural"
"57" "LPexper.20181122.Fullmoon.Thornwood" 6 7 350 "Moon
Rural" FALSE FALSE "MoonRural"
"58" "LPexper.20181122.Fullmoon.Thornwood" 6 8 330 "Moon
Rural" FALSE FALSE "MoonRural"
"59" "LPexper.20181122.Fullmoon.Thornwood" 6 9 320 "Moon
Rural" FALSE FALSE "MoonRural"
"60" "LPexper.20181122.Fullmoon.Thornwood" 6 10 325 "Moon
Rural" FALSE FALSE "MoonRural"
"61" "LPexper.20181122.Fullmoon.Thornwood" 7 1 45 "Moon
Rural" FALSE FALSE "MoonRural"
"62" "LPexper.20181122.Fullmoon.Thornwood" 7 2 50 "Moon
Rural" FALSE FALSE "MoonRural"
"63" "LPexper.20181122.Fullmoon.Thornwood" 7 3 50 "Moon
Rural" FALSE FALSE "MoonRural"
"64" "LPexper.20181122.Fullmoon.Thornwood" 7 4 10 "Moon
Rural" FALSE FALSE "MoonRural"
"65" "LPexper.20181122.Fullmoon.Thornwood" 7 5 10 "Moon
Rural" FALSE FALSE "MoonRural"
"66" "LPexper.20181122.Fullmoon.Thornwood" 7 6 15 "Moon
Rural" FALSE FALSE "MoonRural"
"67" "LPexper.20181122.Fullmoon.Thornwood" 7 7 350 "Moon
Rural" FALSE FALSE "MoonRural"
"68" "LPexper.20181122.Fullmoon.Thornwood" 7 8 250 "Moon
Rural" FALSE FALSE "MoonRural"
"69" "LPexper.20181122.Fullmoon.Thornwood" 7 9 255 "Moon
Rural" FALSE FALSE "MoonRural"
"70" "LPexper.20181122.Fullmoon.Thornwood" 7 10 250 "Moon
Rural" FALSE FALSE "MoonRural"
"71" "LPexper.20181122.Fullmoon.Thornwood" 8 1 65 "Moon
Rural" FALSE FALSE "MoonRural"
"72" "LPexper.20181122.Fullmoon.Thornwood" 8 2 40 "Moon
Rural" FALSE FALSE "MoonRural"
"73" "LPexper.20181122.Fullmoon.Thornwood" 8 3 5 "Moon
Rural" FALSE FALSE "MoonRural"
"74" "LPexper.20181122.Fullmoon.Thornwood" 8 4 345 "Moon
Rural" FALSE FALSE "MoonRural"
"75" "LPexper.20181122.Fullmoon.Thornwood" 8 5 15 "Moon
Rural" FALSE FALSE "MoonRural"
"76" "LPexper.20181122.Fullmoon.Thornwood" 8 6 50 "Moon
Rural" FALSE FALSE "MoonRural"
"77" "LPexper.20181122.Fullmoon.Thornwood" 8 7 30 "Moon
Rural" FALSE FALSE "MoonRural"
"78" "LPexper.20181122.Fullmoon.Thornwood" 8 8 35 "Moon
Rural" FALSE FALSE "MoonRural"
"79" "LPexper.20181122.Fullmoon.Thornwood" 8 9 350 "Moon
Rural" FALSE FALSE "MoonRural"
"80" "LPexper.20181122.Fullmoon.Thornwood" 8 10 45 "Moon
Rural" FALSE FALSE "MoonRural"
"81" "LPexper.20181122.Fullmoon.Thornwood" 9 1 10 "Moon
Rural" FALSE FALSE "MoonRural"
"82" "LPexper.20181122.Fullmoon.Thornwood" 9 2 345 "Moon
Rural" FALSE FALSE "MoonRural"
"83" "LPexper.20181122.Fullmoon.Thornwood" 9 3 5 "Moon
Rural" FALSE FALSE "MoonRural"
"84" "LPexper.20181122.Fullmoon.Thornwood" 9 4 0 "Moon
Rural" FALSE FALSE "MoonRural"
"85" "LPexper.20181122.Fullmoon.Thornwood" 9 5 345 "Moon
Rural" FALSE FALSE "MoonRural"
"86" "LPexper.20181122.Fullmoon.Thornwood" 9 6 345 "Moon
Rural" FALSE FALSE "MoonRural"
