Experiment	Beetle	Trial	Heading
LPexper.20191117.SecurityLightBergsigON	1	1	150
LPexper.20191117.SecurityLightBergsigON	1	2	200
LPexper.20191117.SecurityLightBergsigON	1	3	200
LPexper.20191117.SecurityLightBergsigON	1	4	210
LPexper.20191117.SecurityLightBergsigON	1	5	210
LPexper.20191117.SecurityLightBergsigON	1	6	220
LPexper.20191117.SecurityLightBergsigON	1	7	200
LPexper.20191117.SecurityLightBergsigON	1	8	200
LPexper.20191117.SecurityLightBergsigON	1	9	200
LPexper.20191117.SecurityLightBergsigON	1	10	195
LPexper.20191117.SecurityLightBergsigON	2	1	195
LPexper.20191117.SecurityLightBergsigON	2	2	205
LPexper.20191117.SecurityLightBergsigON	2	3	205
LPexper.20191117.SecurityLightBergsigON	2	4	215
LPexper.20191117.SecurityLightBergsigON	2	5	215
LPexper.20191117.SecurityLightBergsigON	2	6	255
LPexper.20191117.SecurityLightBergsigON	2	7	210
LPexper.20191117.SecurityLightBergsigON	2	8	210
LPexper.20191117.SecurityLightBergsigON	2	9	215
LPexper.20191117.SecurityLightBergsigON	2	10	200
LPexper.20191117.SecurityLightBergsigON	3	1	105
LPexper.20191117.SecurityLightBergsigON	3	2	150
LPexper.20191117.SecurityLightBergsigON	3	3	160
LPexper.20191117.SecurityLightBergsigON	3	4	165
LPexper.20191117.SecurityLightBergsigON	3	5	170
LPexper.20191117.SecurityLightBergsigON	3	6	165
LPexper.20191117.SecurityLightBergsigON	3	7	150
LPexper.20191117.SecurityLightBergsigON	3	8	175
LPexper.20191117.SecurityLightBergsigON	3	9	185
LPexper.20191117.SecurityLightBergsigON	3	10	180
LPexper.20191117.SecurityLightBergsigON	4	1	200
LPexper.20191117.SecurityLightBergsigON	4	2	225
LPexper.20191117.SecurityLightBergsigON	4	3	215
LPexper.20191117.SecurityLightBergsigON	4	4	220
LPexper.20191117.SecurityLightBergsigON	4	5	220
LPexper.20191117.SecurityLightBergsigON	4	6	220
LPexper.20191117.SecurityLightBergsigON	4	7	195
LPexper.20191117.SecurityLightBergsigON	4	8	225
LPexper.20191117.SecurityLightBergsigON	4	9	210
LPexper.20191117.SecurityLightBergsigON	4	10	220
LPexper.20191117.SecurityLightBergsigON	5	1	220
LPexper.20191117.SecurityLightBergsigON	5	2	205
LPexper.20191117.SecurityLightBergsigON	5	3	210
LPexper.20191117.SecurityLightBergsigON	5	4	195
